EventId,Date,Time,Period,Actual,Forecast,Previous
"TRY::Turkey CPI Ex E,F,B,T&G::m/m",2024-01-03,15:00,dec,2.3%,,2.0%
"TRY::Turkey CPI Ex E,F,B,T&G::y/y",2024-01-03,15:00,dec,70.6%,,69.9%
EUR::Spanish Unemployment Change::none,2024-01-03,16:00,,-27.4K,-15.7K,-24.6K
CHF::Manufacturing PMI::none,2024-01-03,16:30,dec,43.0,43.0,42.1
EUR::German Unemployment::none,2024-01-03,16:55,dec,2.703M,,2.698M
EUR::German Unemployment Change::none,2024-01-03,16:55,dec,5K,20K,21K
EUR::German Unemployment Rate::none,2024-01-03,16:55,dec,5.9%,5.9%,5.8%
EUR::German Unemployment n.s.a.::none,2024-01-03,16:55,dec,2.637M,,2.606M
EUR::German 2-Year Schatz Auction::none,2024-01-03,18:40,,2.440%,,2.640%
EUR::Latvian Industrial Production::m/m,2024-01-03,19:00,nov,-0.9%,,1.5%
EUR::Latvian Industrial Production::y/y,2024-01-03,19:00,nov,-3.4%,,0.5%
BRL::Current Account (USD)::none,2024-01-03,19:30,nov,-1.60B,-0.40B,-0.23B
BRL::Foreign direct investment (USD)::none,2024-01-03,19:30,nov,7.80B,3.90B,3.31B
USD::MBA 30-Year Mortgage Rate::none,2024-01-03,20:00,,6.76%,,6.83%
USD::MBA Mortgage Applications::w/w,2024-01-03,20:00,,-10.7%,,-1.5%
USD::MBA Purchase Index::none,2024-01-03,20:00,,140.7,,148.7
USD::Mortgage Market Index::none,2024-01-03,20:00,,173.5,,191.6
USD::Mortgage Refinance Index::none,2024-01-03,20:00,,358.2,,437.6
SGD::S&P Global Manufacturing PMI::none,2024-01-03,21:00,dec,50.5,,50.3
USD::FOMC Member Barkin Speaks::none,2024-01-03,21:30,,,,
USD::Redbook::y/y,2024-01-03,21:55,,5.6%,,4.1%
USD::JOLTS Job Openings::none,2024-01-03,23:00,nov,8.790M,8.850M,8.852M
USD::ISM Manufacturing Employment::none,2024-01-03,23:00,dec,48.1,46.5,45.8
USD::ISM Manufacturing New Orders Index::none,2024-01-03,23:00,dec,47.1,49.1,48.3
USD::ISM Manufacturing PMI::none,2024-01-03,23:00,dec,47.4,47.1,46.7
USD::ISM Manufacturing Prices::none,2024-01-03,23:00,dec,45.2,47.5,49.9
DKK::Currency Reserves::none,2024-01-04,00:00,dec,612.70B,,616.90B
NA::Montenegro - New Year's Day::none,2024-01-04,All Day,,,,
USD::Atlanta Fed GDPNow::none,2024-01-04,02:00,q4,2.5%,2.0%,2.0%
TRY::Gross FX Reserves::none,2024-01-04,02:30,,92.83B,,97.56B
KRW::FX Reserves - USD::none,2024-01-04,05:00,dec,420.15B,,417.08B
USD::API Weekly Crude Oil Stock::none,2024-01-04,05:30,,-7.418M,-2.967M,1.837M
EUR::North Rhine Westphalia CPI::m/m,2024-01-04,14:30,dec,-0.1%,,-0.3%
EUR::North Rhine Westphalia CPI::y/y,2024-01-04,14:30,dec,3.5%,,3.0%
DKK::M3 Money Supply::none,2024-01-04,15:00,nov,"1,908.1B",,"1,900.3B"
RON::PPI::y/y,2024-01-04,15:00,nov,-2.55%,,-2.24%
HUF::Trade Balance (EUR)::m/m,2024-01-04,15:30,nov,"1,718.0M",,"1,000.0M"
SEK::Services PMI::m/m,2024-01-04,15:30,dec,50.0,,48.5
EUR::French CPI::m/m,2024-01-04,15:45,dec,0.1%,0.2%,-0.2%
EUR::French CPI::y/y,2024-01-04,15:45,dec,3.7%,3.8%,3.5%
EUR::French HICP::m/m,2024-01-04,15:45,,0.1%,0.3%,-0.2%
EUR::French HICP::y/y,2024-01-04,15:45,,4.1%,4.1%,3.9%
HKD::Retail Sales::y/y,2024-01-04,16:30,nov,15.9%,,5.6%
EUR::Baden Wuerttemberg CPI::y/y,2024-01-04,17:00,dec,3.8%,,3.4%
EUR::Bavaria CPI::m/m,2024-01-04,17:00,dec,0.1%,,-0.4%
EUR::Bavaria CPI::y/y,2024-01-04,17:00,dec,3.4%,,2.8%
EUR::Brandenburg CPI::m/m,2024-01-04,17:00,dec,0.0%,,-0.3%
EUR::Brandenburg CPI::y/y,2024-01-04,17:00,dec,4.5%,,4.1%
EUR::Hesse CPI::m/m,2024-01-04,17:00,dec,0.0%,,-0.4%
EUR::Hesse CPI::y/y,2024-01-04,17:00,dec,3.5%,,2.9%
EUR::Saxony CPI::m/m,2024-01-04,17:00,dec,0.2%,,-0.3%
EUR::Saxony CPI::y/y,2024-01-04,17:00,dec,4.3%,,3.9%
EUR::Baden Wuerttemberg CPI::m/m,2024-01-04,17:00,,0.1%,,-0.3%
GBP::BoE Consumer Credit::none,2024-01-04,17:30,nov,2.005B,1.400B,1.411B
GBP::M3 Money Supply::none,2024-01-04,17:30,nov,"2,984.7B",,"2,987.0B"
GBP::M4 Money Supply::m/m,2024-01-04,17:30,nov,-0.1%,0.2%,0.3%
GBP::Mortgage Approvals::none,2024-01-04,17:30,nov,50.07K,48.50K,47.89K
GBP::Mortgage Lending::none,2024-01-04,17:30,nov,-0.04B,,-0.08B
CZK::Budget Balance::none,2024-01-04,17:30,dec,-288.500B,,-269.100B
GBP::Net Lending to Individuals::none,2024-01-04,17:30,,2.0B,1.6B,1.3B
EUR::French Car Registration::y/y,2024-01-04,17:55,,14.5%,,14.0%
EUR::Greek Unemployment Rate::none,2024-01-04,18:00,nov,9.4%,,9.4%
NOK::House Price Index::y/y,2024-01-04,18:00,dec,0.50%,,0.50%
GBP::15-Year Treasury Gilt Auction::none,2024-01-04,18:00,,4.067%,,4.871%
EUR::French 10-Year OAT Auction::none,2024-01-04,18:00,,2.59%,,2.75%
EUR::French 30-Year OAT Auction::none,2024-01-04,18:00,,3.13%,,3.92%
EUR::Spanish 3-Year Bonos Auction::none,2024-01-04,18:00,,2.582%,,3.245%
EUR::Spanish 30-Year Obligacion Auction::none,2024-01-04,18:00,,3.693%,,4.465%
EUR::Spanish 5-Year Bonos Auction::none,2024-01-04,18:00,,2.621%,,3.334%
EUR::Irish HICP::m/m,2024-01-04,19:00,,0.4%,,-0.9%
EUR::Irish HICP::y/y,2024-01-04,19:00,,3.2%,,2.5%
BRL::Bank lending::m/m,2024-01-04,19:30,nov,0.9%,,0.3%
TRY::Net FX Reserves::none,2024-01-04,19:30,,34.95%,,40.09%
BRL::Brazilian PPI::m/m,2024-01-04,20:00,nov,-0.43%,,1.07%
USD::All Car Sales::none,2024-01-04,20:30,dec,3.07M,,3.00M
USD::All Truck Sales::none,2024-01-04,20:30,dec,12.76M,,12.34M
USD::Challenger Job Cuts::none,2024-01-04,20:30,dec,34.817K,,45.510K
USD::Challenger Job Cuts::y/y,2024-01-04,20:30,,-20.2%,,-40.8%
EUR::German CPI::m/m,2024-01-04,21:00,dec,0.1%,0.1%,-0.4%
EUR::German CPI::y/y,2024-01-04,21:00,dec,3.7%,3.7%,3.2%
EUR::German HICP::m/m,2024-01-04,21:00,dec,0.2%,0.3%,-0.7%
EUR::German HICP::y/y,2024-01-04,21:00,dec,3.8%,3.8%,2.3%
USD::ADP Nonfarm Employment Change::none,2024-01-04,21:15,dec,164K,115K,101K
CAD::Reserve Assets Total::none,2024-01-04,21:15,dec,118.3B,,115.4B
USD::Continuing Jobless Claims::none,2024-01-04,21:30,,"1,855K","1,883K","1,886K"
USD::Initial Jobless Claims::none,2024-01-04,21:30,,202K,216K,220K
USD::Jobless Claims 4-Week Avg.::none,2024-01-04,21:30,,207.75K,,212.50K
EGP::Foreign Reserves (USD)::none,2024-01-04,22:50,dec,35.22B,,35.17B
EUR::Irish Exchequer Returns::none,2024-01-04,23:00,dec,1.200B,,5.400B
USD::Total Vehicle Sales::none,2024-01-04,23:00,dec,15.83M,15.50M,15.34M
MXN::Monetary Policy Meeting Minutes::none,2024-01-04,23:00,,,,
USD::Natural Gas Storage::none,2024-01-04,23:30,,-14B,-40B,-87B
USD::Crude Oil Imports::none,2024-01-05,00:00,,-0.758M,,-0.268M
USD::Crude Oil Inventories::none,2024-01-05,00:00,,-5.503M,-3.725M,-7.114M
USD::Cushing Crude Oil Inventories::none,2024-01-05,00:00,,0.706M,,1.508M
USD::Distillate Fuel Production::none,2024-01-05,00:00,,0.115M,,0.243M
USD::EIA Refinery Crude Runs::w/w,2024-01-05,00:00,,0.121M,,0.058M
USD::EIA Weekly Distillates Stocks::none,2024-01-05,00:00,,10.090M,0.588M,0.741M
USD::EIA Weekly Refinery Utilization Rates::w/w,2024-01-05,00:00,,0.2%,,0.9%
USD::Gasoline Inventories::none,2024-01-05,00:00,,10.900M,-0.215M,-0.669M
USD::Gasoline Production::none,2024-01-05,00:00,,-1.275M,,-0.008M
USD::Heating Oil Stockpiles::none,2024-01-05,00:00,,-0.433M,,0.286M
NA::Montenegro - New Year's Day::none,2024-01-05,All Day,,,,
NA::Sweden - Epiphany Day - Early close at 13:00::none,2024-01-05,,,,,
USD::4-Week Bill Auction::none,2024-01-05,00:30,,5.290%,,5.325%
USD::8-Week Bill Auction::none,2024-01-05,00:30,,5.285%,,5.285%
BRL::Foreign Exchange Flows::none,2024-01-05,01:30,,-13.057B,-8.755B,-8.170B
USD::Fed's Balance Sheet::none,2024-01-05,05:30,,"7,681B",,"7,713B"
USD::Reserve Balances with Federal Reserve Banks::none,2024-01-05,05:30,,3.459T,,3.434T
JPY::Monetary Base::y/y,2024-01-05,07:50,dec,7.9%,9.0%,8.9%
PHP::CPI::m/m,2024-01-05,09:00,dec,0.2%,0.3%,0.2%
PHP::CPI::y/y,2024-01-05,09:00,dec,3.9%,4.0%,4.1%
PHP::Core CPI::y/y,2024-01-05,09:00,dec,4.4%,,4.7%
THB::CPI::y/y,2024-01-05,11:30,dec,-0.83%,-0.30%,-0.44%
THB::Core CPI::y/y,2024-01-05,11:30,dec,0.58%,0.60%,0.58%
SGD::Retail Sales::m/m,2024-01-05,13:00,nov,0.5%,,-0.9%
SGD::Retail Sales::y/y,2024-01-05,13:00,nov,2.5%,,-0.1%
JPY::Household Confidence::none,2024-01-05,13:00,dec,37.2,36.6,36.1
EUR::Dutch CPI::y/y,2024-01-05,13:30,,1.2%,,1.6%
EUR::Estonian Industrial Production::m/m,2024-01-05,14:00,nov,2.70%,,-0.50%
EUR::Estonian Industrial Production::y/y,2024-01-05,14:00,nov,-5.80%,,-12.20%
EUR::German Retail Sales::m/m,2024-01-05,15:00,nov,-2.5%,-0.1%,1.1%
EUR::German Retail Sales::y/y,2024-01-05,15:00,nov,-2.4%,-0.5%,-0.1%
DKK::Unemployment Rate::none,2024-01-05,15:00,nov,2.5%,,2.5%
GBP::Halifax House Price Index::m/m,2024-01-05,15:00,dec,1.1%,0.1%,0.6%
GBP::Halifax House Price Index::y/y,2024-01-05,15:00,dec,1.7%,,-0.8%
HUF::PPI::y/y,2024-01-05,15:30,nov,-6.6%,,-6.6%
HUF::Quarterly Unemployment Rate::none,2024-01-05,15:30,nov,4.3%,,4.3%
THB::Currency Swaps (USD)::none,2024-01-05,15:30,,30.1B,,30.6B
THB::Foreign Reserves (USD)::none,2024-01-05,15:30,,224.5B,,222.5B
EUR::Austrian CPI::m/m,2024-01-05,16:00,dec,0.40%,,0.25%
EUR::Austrian CPI::y/y,2024-01-05,16:00,dec,5.60%,,5.35%
EUR::Austrian Wholesale Prices n.s.a::m/m,2024-01-05,16:00,dec,-1.0%,,-1.0%
EUR::Austrian Wholesale Prices n.s.a::y/y,2024-01-05,16:00,dec,-3.3%,,-4.6%
TWD::CPI::m/m,2024-01-05,16:00,dec,0.29%,,-0.07%
TWD::CPI::y/y,2024-01-05,16:00,dec,2.71%,2.54%,2.90%
TWD::CPI NSA::m/m,2024-01-05,16:00,dec,-0.04%,,-0.28%
BRL::IPC-Fipe Inflation Index::m/m,2024-01-05,16:00,dec,0.38%,,0.43%
TWD::Wholesale Prices::m/m,2024-01-05,16:00,dec,-0.42%,,-0.70%
CZK::GDP::q/q,2024-01-05,16:00,q3,-0.6%,-0.5%,0.1%
CZK::GDP::y/y,2024-01-05,16:00,q3,-0.8%,,-0.4%
EUR::Austrian HICP::m/m,2024-01-05,16:00,,0.5%,,0.2%
EUR::Austrian HICP::y/y,2024-01-05,16:00,,5.7%,,4.9%
TWD::FX Reserves USD::none,2024-01-05,16:20,dec,570.60B,,567.52B
HKD::Foreign Reserves (USD)::none,2024-01-05,16:30,dec,425.50B,,424.60B
PLN::CPI::m/m,2024-01-05,17:00,dec,0.1%,0.3%,0.7%
PLN::CPI::y/y,2024-01-05,17:00,dec,6.1%,6.5%,6.6%
EGP::Current Account (USD)::none,2024-01-05,17:00,q3,"-2,800M",,557M
EUR::Italian Public Deficit::none,2024-01-05,17:00,q3,5.0%,,5.1%
GBP::Car Registration::y/y,2024-01-05,17:00,,9.8%,,9.5%
UAH::Foreign Reserves (USD)::none,2024-01-05,17:10,dec,40.50B,,38.80B
GBP::Housing Equity Withdrawal::q/q,2024-01-05,17:30,,-21.8B,,-23.5B
EUR::PPI::m/m,2024-01-05,18:00,nov,-0.3%,-0.1%,0.3%
EUR::PPI::y/y,2024-01-05,18:00,nov,-8.8%,-8.7%,-9.4%
EUR::CPI::y/y,2024-01-05,18:00,dec,2.9%,3.0%,2.4%
"EUR::CPI, n.s.a::none",2024-01-05,18:00,dec,124.04,,123.85
EUR::HICP ex Energy & Food::y/y,2024-01-05,18:00,dec,3.9%,,4.2%
EUR::Italian CPI::m/m,2024-01-05,18:00,dec,0.2%,0.2%,-0.5%
EUR::Italian CPI::y/y,2024-01-05,18:00,dec,0.6%,0.7%,0.7%
EUR::Italian HICP::m/m,2024-01-05,18:00,dec,0.2%,0.1%,-0.6%
EUR::Italian HICP::y/y,2024-01-05,18:00,dec,0.5%,0.4%,0.6%
GBP::United Kingdom New Passenger Cars Registration::none,2024-01-05,18:00,dec,"141,092.0",,"156,525.0"
EUR::CPI::m/m,2024-01-05,18:00,,0.2%,,-0.6%
EUR::Core CPI::m/m,2024-01-05,18:00,,0.4%,,-0.6%
EUR::Core CPI::y/y,2024-01-05,18:00,,3.4%,3.5%,3.6%
EUR::German Car Registration::y/y,2024-01-05,18:00,,-23.0%,,-5.7%
EUR::HICP ex Energy and Food::m/m,2024-01-05,18:00,,0.3%,,-0.5%
BRL::IGP-DI Inflation Index::m/m,2024-01-05,19:00,dec,0.64%,,0.50%
BRL::Budget Balance::none,2024-01-05,19:30,nov,-80.887B,-84.900B,-47.148B
BRL::Budget Surplus::none,2024-01-05,19:30,nov,-37.270B,,14.798B
BRL::Gross Debt-to-GDP ratio::m/m,2024-01-05,19:30,nov,73.8%,75.0%,74.7%
BRL::Net Debt-to-GDP ratio::none,2024-01-05,19:30,nov,59.5%,,60.0%
"INR::FX Reserves, USD::none",2024-01-05,19:30,,623.20B,,620.44B
BRL::Industrial Production::m/m,2024-01-05,20:00,nov,0.5%,0.2%,0.1%
BRL::Industrial Production::y/y,2024-01-05,20:00,nov,1.3%,0.7%,1.1%
INR::GDP Annual::none,2024-01-05,20:00,,7.3%,,7.2%
EUR::Spanish Business Confidence::none,2024-01-05,20:00,,-6.8,,-9.4
PHP::FX Reserves USD::none,2024-01-05,20:25,dec,102.50B,,101.30B
PLN::FX Reserves (EUR)::none,2024-01-05,21:00,dec,175.40B,,170.90B
USD::Average Hourly Earnings::m/m,2024-01-05,21:30,dec,0.4%,0.3%,0.4%
USD::Average Hourly Earnings::y/y,2024-01-05,21:30,dec,4.1%,3.9%,4.0%
USD::Average Weekly Hours::none,2024-01-05,21:30,dec,34.3,34.4,34.4
CAD::Avg hourly wages Permanent employee::none,2024-01-05,21:30,dec,5.7%,,5.0%
CAD::Employment Change::none,2024-01-05,21:30,dec,0.1K,13.5K,24.9K
CAD::Full Employment Change::none,2024-01-05,21:30,dec,-23.5K,,59.6K
USD::Government Payrolls::none,2024-01-05,21:30,dec,52.0K,,37.0K
USD::Manufacturing Payrolls::none,2024-01-05,21:30,dec,6K,5K,26K
USD::Nonfarm Payrolls::none,2024-01-05,21:30,dec,216K,170K,182K
CAD::Part Time Employment Change::none,2024-01-05,21:30,dec,23.6K,,-34.7K
CAD::Participation Rate::none,2024-01-05,21:30,dec,65.4%,,65.6%
USD::Participation Rate::none,2024-01-05,21:30,dec,62.5%,62.8%,62.8%
USD::Private Nonfarm Payrolls::none,2024-01-05,21:30,dec,164K,130K,136K
USD::U6 Unemployment Rate::none,2024-01-05,21:30,dec,7.1%,,7.0%
CAD::Unemployment Rate::none,2024-01-05,21:30,dec,5.8%,5.9%,5.8%
USD::Unemployment Rate::none,2024-01-05,21:30,dec,3.7%,3.8%,3.7%
USD::Durables Excluding Defense::m/m,2024-01-05,23:00,nov,6.5%,,6.5%
USD::Durables Excluding Transport::m/m,2024-01-05,23:00,nov,0.4%,,0.5%
COP::Exports::y/y,2024-01-05,23:00,nov,-9.00%,,-1.50%
USD::Factory Orders::m/m,2024-01-05,23:00,nov,2.6%,2.1%,-3.4%
USD::Factory orders ex transportation::m/m,2024-01-05,23:00,nov,0.1%,,-1.3%
USD::ISM Non-Manufacturing Business Activity::none,2024-01-05,23:00,dec,56.6,,55.1
USD::ISM Non-Manufacturing Employment::none,2024-01-05,23:00,dec,43.3,51.0,50.7
USD::ISM Non-Manufacturing New Orders::none,2024-01-05,23:00,dec,52.8,56.1,55.5
USD::ISM Non-Manufacturing PMI::none,2024-01-05,23:00,dec,50.6,52.6,52.7
